Hete_Meas	NameFile	gGoal	gBulkMua	gBulkMus	PertMua	PertMus	gDepth	gVol	Goal	gDir	LinMua	LinMus	BulkMua	BulkMus	Depth
76	Measure0076	A	0.08	12	0.04	12	0.5	1	lin Pmua small	ver	OK	NO	NO	NO	NO
77	Measure0077	A	0.08	12	0.04	12	0.5	1	CROSS	hor	OK	NO	NO	NO	NO
79	Measure0079	A	0.08	12	0.08	12	0.5	1	lin Pmua small	ver	OK	NO	NO	NO	NO
80	Measure0080	A	0.08	12	0.08	12	0.5	1	CROSS	hor	OK	NO	NO	NO	NO
82	Measure0082	A	0.08	12	0.16	12	0.5	1	lin Pmua small	ver	OK	NO	NO	NO	NO
83	Measure0083	A	0.08	12	0.16	12	0.5	1	CROSS	hor	OK	NO	NO	NO	NO
85	Measure0085	A	0.08	12	0.32	12	0.5	1	lin Pmua small	ver	OK	NO	NO	NO	NO
86	Measure0086	A	0.08	12	0.32	12	0.5	1	CROSS	hor	OK	NO	NO	NO	NO
88	Measure0088	A	0.08	12	0.48	12	0.5	1	lin Pmua small	ver	OK	NO	NO	NO	NO
89	Measure0089	A	0.08	12	0.48	12	0.5	1	CROSS	hor	OK	NO	NO	NO	NO
91	Measure0091	A	0.08	12	0.08	6	0.5	1	lin Pmusp small	ver	NO	OK	NO	NO	NO
92	Measure0092	A	0.08	12	0.08	6	0.5	1	CROSS	hor	NO	OK	NO	NO	NO
94	Measure0094	A	0.08	12	0.08	12	0.5	1	lin Pmusp small	ver	NO	OK	NO	NO	NO
95	Measure0095	A	0.08	12	0.08	12	0.5	1	CROSS	hor	NO	OK	NO	NO	NO
97	Measure0097	A	0.08	12	0.08	18	0.5	1	lin Pmusp small	ver	NO	OK	NO	NO	NO
98	Measure0098	A	0.08	12	0.08	18	0.5	1	CROSS	hor	NO	OK	NO	NO	NO
101	Measure0101	B	0.08	12	0.04	12	1.5	6	lin Pmua large	ver	OK	NO	NO	NO	NO
102	Measure0102	B	0.08	12	0.04	12	1.5	6	CROSS	hor	OK	NO	NO	NO	NO
104	Measure0104	B	0.08	12	0.08	12	1.5	6	lin Pmua large	ver	OK	NO	NO	NO	NO
105	Measure0105	B	0.08	12	0.08	12	1.5	6	CROSS	hor	OK	NO	NO	NO	NO
107	Measure0107	B	0.08	12	0.16	12	1.5	6	lin Pmua large	ver	OK	NO	NO	NO	NO
108	Measure0108	B	0.08	12	0.16	12	1.5	6	CROSS	hor	OK	NO	NO	NO	NO
110	Measure0110	B	0.08	12	0.32	12	1.5	6	lin Pmua large	ver	OK	NO	NO	NO	NO
111	Measure0111	B	0.08	12	0.32	12	1.5	6	CROSS	hor	OK	NO	NO	NO	NO
113	Measure0113	B	0.08	12	0.48	12	1.5	6	lin Pmua large	ver	OK	NO	NO	NO	NO
114	Measure0114	B	0.08	12	0.48	12	1.5	6	CROSS	hor	OK	NO	NO	NO	NO
116	Measure0116	B	0.08	12	0.08	6	1.5	6	lin Pmusp large	ver	NO	OK	NO	NO	NO
117	Measure0117	B	0.08	12	0.08	6	1.5	6	CROSS	hor	NO	OK	NO	NO	NO
119	Measure0119	B	0.08	12	0.08	12	1.5	6	lin Pmusp large 	ver	NO	OK	NO	NO	NO
120	Measure0120	B	0.08	12	0.08	12	1.5	6	CROSS	hor	NO	OK	NO	NO	NO
122	Measure0122	B	0.08	12	0.08	18	1.5	6	lin Pmusp large	ver	NO	OK	NO	NO	NO
123	Measure0123	B	0.08	12	0.08	18	1.5	6	CROSS	hor	NO	OK	NO	NO	NO
126	Measure0126	C	0.08	12	0.08	12	0.5	1	bulk_effect small	ver	NO	NO	OK	OK	NO
127	Measure0127	C	0.08	12	0.08	12	0.5	1	CROSS	hor	NO	NO	OK	OK	NO
129	Measure0129	C	0.16	12	0.08	12	0.5	1	bulk_effect small	ver	NO	NO	OK	NO	NO
130	Measure0130	C	0.16	12	0.08	12	0.5	1	CROSS	hor	NO	NO	OK	NO	NO
132	Measure0132	C	0.08	6	0.08	12	0.5	1	bulk_effect small	ver	NO	NO	NO	OK	NO
133	Measure0133	C	0.08	6	0.08	12	0.5	1	CROSS	hor	NO	NO	NO	OK	NO
